查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
民俗学的学科边界、核心特质与发展路径思考,查看该刊,2024.06.17,三峡大学文学与传媒学院,刘晓嘉,民俗学的学科边界、核心特质与发展路径思考 网络首发,湖北民族大学学报(哲学社会科学版) ,,K892,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfngkekPY2hayvhhQe8OZtQtebB330BbOG4yLHKWMstk-8i67MOtEejhUuy6taVwsVQ-fgs_JgrV4PoExS3bQxC-fBpX6KKeZ5rdiVSZakG0h6P0TfAt8h0srbK8vntDKf2Lhwxr5HOjtOV7dChCgNEw6WltmhIMth6Wtv1UFII7Q==&uniplatform=NZKPT&language=CHS
“交叉学科”门类下设置体育领域一级学科的循证路径,2024,2025.03.05,1.北京师范大学体育与运动学院;2.济南大学体育学院,张瑞林;车雯,“交叉学科”门类下设置体育领域一级学科的循证路径,体育科学 ,No.12,G807,[70-77+93],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keDHXDavSRkKfWcLbZVcsrrRqHN8h-asrkYzUvKldNZxwENOosCBJH5R5MohTnuWWg-aHJgXvvtyWoxWD-zUHB_SdPNktVK7ykLQY0okvATEopSBWeMgG9SUN9ctoqBFVK4YejhcZ3dXow8GNh9cKqmEblUMqK53m4jWIk9aalWmw==&uniplatform=NZKPT&language=CHS
城市人口多中心化影响土地空间错配的机制及效应,2024,2025.02.25,1.浙江工商大学统计与数学学院;2.浙江工商大学统计数据工程技术与应用协同创新中心,程开明;张海阳;高东东,城市人口多中心化影响土地空间错配的机制及效应,中国土地科学 ,No.12,C924.2;F301.2,[67-78],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keOReQH5-QcR5VbaRnTWelvv0TuNP6KtR19tWuM8Ka32oNDYNpE54x-PRa_-Pv8wVXrOzeq0KZ9NLnWPfnYw6Xw-ego4TOPvfz3FY7m1XOZ_4DEidkCwUf7mbqd-h9uHklP_ZAXPhiQLXQZdxXiPH4BzaiMYEv8oOMhTWbXyu2M1w==&uniplatform=NZKPT&language=CHS
大数据技术背景下数字化商务英语教学模式探讨—评《“互联网+”时代商务英语教学模式研究》,2022,2022.11.03,1.西南科技大学;2.中国科学技术大学科技哲学系,兰梅;彭莉娟,大数据技术背景下数字化商务英语教学模式探讨——评《“互联网+”时代商务英语教学模式研究》,教育发展研究 ,No.18,F710-4;H319.3;G434,[85],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keJ87nislh27wNxnx7ek9m-lRA4kp3QdJCRAdtptlvCEKOKl8rKOOp77Q8pSRuf6pnnTWVmQQl2mwHS3-FY1LHP65Bu3NGRcR6HAOSIaP_Z4NAyE-Y2pWekd2-lMCVkx2GNkDxDlyIhc6couJUHi_OJYhTXIj84qyin-d1k_rcmfQ==&uniplatform=NZKPT&language=CHS
数字规制政策、知识产权保护与技术创新扩散,2025,2024.06.28,1.海南大学马克思主义学院;2.海南大学法学院,郑坚铭;张丽娜,数字规制政策、知识产权保护与技术创新扩散,科技进步与对策 ,No.04,F49;F204;F124.3,[100-109],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdW3_lua1IZZzi-otdIb4Af6uhRzO_byJV7OVBmq5pHj-jMv160bRj4SDH0n2gmldjQ_h_T3eOXprqEUXlcnotMOHsZ3ltJ-J2k9FylCGjFvzyIsxC__Gy-rtr1_a5NrN9bnPvsgYeLhJtL34pFnpOYovnPWLDr5DPdq8ZQB3gdSQ==&uniplatform=NZKPT&language=CHS
日本古代气象祭研究,2020,2020.05.06,"南京信息工程大学科学技术史研究院,文化遗产与科学认知研究基地",杨凯,日本古代气象祭研究,自然辩证法研究 ,No.04,P1-093,[90-95],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keXDYKJ7b0AhPtoXe3E3q0hpHCUrh1NdN0mQbqO0YrK_Wcrld-ackb7HXqBWKtTckmZlAS3tKIIVSQn3ltulc9QjkY4BgWcdbyY0M-lUGOaL2g1A5t46qkc8-hBUAZSJEQzM2ac5TM3EnJDE2YFXKReXKPIV0toVBFPw9hIZrFpnw==&uniplatform=NZKPT&language=CHS
集中西文献之大成 探明清天文之传播,2022,2022.10.09,南京信息工程大学文化遗产科学认知与保护研究基地,李晓岑;卜超群,集中西文献之大成 探明清天文之传播——评《通天之学：耶稣会士和天文学在中国的传播》,中国科技史杂志 ,No.03,P1-092;K248;B979,[477-480],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfZLuXJ0274nZpm7EGz6xg2RbIYuhJkekTQ0mF-j3ykCTAHGhkC-BG4WglPAB44Otl5z1oy4InIE7fd_91e3rss17hDgRL9tNZ09VFeVJx8hgVinNQiiMF4Zem3fEuWy5S9LpYaEPjRagi0uAU9PqueBbDuf25Y7htgInijMoPUiw==&uniplatform=NZKPT&language=CHS
基于需求学习的数字化鲜活品拍卖平台批量优化策略研究,2025,2023.03.28,1.深圳大学经济学院;2.电子科技大学经济与管理学院,孔祥天瑞;龙艳红;于凯泽;弋泽龙;晏鹏宇,基于需求学习的数字化鲜活品拍卖平台批量优化策略研究 增强出版,中国管理科学 ,No.06,O225;F713.359,[222-232],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd6pLDg9aZXwz9t2GTFPP3AFBjZ_zPWB0l3IgwD6LHxVPwvnJ-DWOV2anbuanfAWVljNHvvAOSgymMS_kce3e0oZI6Wo1jgaXKIL6ctkT9upjw57g7xFE_6Eq__WAiq8MEZhlX6pw89iv4bw27_m5YzBZiBCnY4WKdzrdrVVyVG5A==&uniplatform=NZKPT&language=CHS
金石有余音——评《华觉明自选集》,2021,2021.07.16,南京信息工程大学文化遗产科学认知与保护校外基地科学技术史研究院,李晓岑;杨思宇,金石有余音——评《华觉明自选集》,自然科学史研究 ,No.01,N09,[130-134],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdIFa03-SKST03oP-Hbhen3wj8nYaEckSF8Ec8_tPx-xkVVxDJOOP_duwdgKi5DbXkyHxtvlqRg3nUf8Sca20cprNggGvWpgAOFLagOh_Ayak7D6j4M24ekoYd767b3ZqQDRAyLF0SjasEwfq-IdauF8Coj-HDF0eJNUKGZRo7HHA==&uniplatform=NZKPT&language=CHS
生成式人工智能参与社会治理的风险规制——以算法评估为切入点,2025,2025.07.07,1.广西师范大学法学院;2.桂林旅游学院马克思主义学院,李德进;李爱民,生成式人工智能参与社会治理的风险规制——以算法评估为切入点,编辑之友 ,No.06,D630;TP18,[67-78],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf01p9ahXF4z0owMCgazVIAx47NFlVbCaKVCqa7hEtX-FK-IhAftaU8a1FZVJHREZw7RuyEFtbGXxXNs0_LzrUblWFaqN4YuUORvLfa47hImU8vTe3SEouPbR5lKJsOT3z0s8OBym4Rtd5TdeWlZb4APGTXeTh7lPH4AZNeiQGVfw==&uniplatform=NZKPT&language=CHS
少数民族非物质文化遗产特别知识产权保护模式的比较法评析,2012,2012.10.31,三峡大学法学院,余澜;朱祥贵;杨春娥,少数民族非物质文化遗产特别知识产权保护模式的比较法评析,中南民族大学学报(人文社会科学版) ,No.05,D923.41,[93-97],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfjgy5C59SLFOBGgkLeYvvBBUyOjecJyBNDhQkU_fSpLlMcAdgROJpzkKEzkrozQ2tYQdd1OJaOaIhAvFw8qu51gJu0ApTSD5XmRKaVZQLS36i3dQERGv8cCIF0R5J-jWl0ji8342MPpJUyEkNQeYJNGNczifcL_oB6xAhy2mz2kw==&uniplatform=NZKPT&language=CHS
语专业课程档案袋评价标准的师生共建研制——以“综合英语”课程为例,2025,2025.03.05,浙江师范大学外国语学院,孔菊芳,外语专业课程档案袋评价标准的师生共建研制——以“综合英语”课程为例,外语界 ,No.01,H319.3,[81-89],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kePPBK9efi3UAZcc-xVMV3Fs_g-HvE2aCi-c5c8kzu01vM-Z-tp4aarmYATswhXdRJ3qTZ3XoDy0GZ3JUhhsyidg8Z-PwNozXYrTM4zvyiGLb6Gssglb2ShcCr2QxAbThBNXC9_H70MlJlgCdwdnzB8CCjxpLNJZjZqtpP5lrqV8g==&uniplatform=NZKPT&language=CHS
主体·时间·空间：新媒介文艺生成性研究,2024,2023.12.29,杭州师范大学文化创意与传媒学院,别君华,主体·时间·空间：新媒介文艺生成性研究,广州大学学报(社会科学版) ,No.01,G206;I0,[83-94],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcaWX64f7BZNRURmHiynckrD7RvuvVDplYQ0gaBKjcv2ZEMGM0HTWVdsmn0IwMkAwfR4ojqL-NeaDyIK8AXJ6iiQEtBZpC2Gj-VFp-EsmqMfpVUAICXZYKf7gjRmeigwNhadn450lFYYZj1D8_xoyh1Zoaznmcvd6zU48jkstk6sw==&uniplatform=NZKPT&language=CHS
基于“拆分-填充-分解-集成”的我国线上零售额预测研究,2022,2023.01.16,1.哈尔滨工程大学经济管理学院;2.大数据与商务智能技术工业和信息化部重点实验室(哈尔滨工程大学);3.四川大学商学院,曾能民;张明;余乐安,基于“拆分-填充-分解-集成”的我国线上零售额预测研究 增强出版,中国管理科学 ,No.12,F724.6,[63-76],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc2mIpTRS2YTigS981hMFydompsq6fttSFx9J8QrYdH8neZqGI-cjmjBYgo9Qi5xMOyP6Npto19zZh-VaoPObpnkzkXZuwWESikC0myIDXpuK0q_muKTMIJszLbiiM0jmq3bLDU2OCl019vOl3-RgkylR-LvlaIWAIbfbTc51Wj1g==&uniplatform=NZKPT&language=CHS
农民工的城市融入与基层选举参与,2022,2022.04.08,厦门大学社会与人类学院,胡荣;陈诗颖,农民工的城市融入与基层选举参与,社会科学研究 ,No.01,D621.5;F323.6,[113-119],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kedFSgzisV-_ZnkYmS086K1_vueovMpWqxbMw8X3aAM5Kcrm1qkkjwv0NCN09ePCmAjQV8SFcD4S-5wjQL11BHCnV4SAsRd39FZdXlB7LCihiQhLhfdBBZX2nyYsz14jLkYt_uWWMwRgfsoKRvDxqtgOSBLgYxnr8NEAb25FwK7Jg==&uniplatform=NZKPT&language=CHS
数字金融与企业资本结构动态调整,2024,2025.04.23,1.中央财经大学会计学院;2.中央财经大学中国财政发展协同创新中心,袁淳;束永康;梁上坤;崔怀谷,数字金融与企业资本结构动态调整,管理科学 ,No.06,F49;F832;F275,[86-103],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcfmgGRwCv3JF1VgFRzK2cTAjFffWT12bxg2vPFjlPT3m30nhkx57le4N82f_9qRdpv_jvut1mQ1n7e5fKkexZBpY56dSqtlvzoeze_bIf_shJo_TTCg0Nhlc5FtH5qDoT4N9DxfuSM43VS_nBdcm1RjK7Cuuf8JXM3Jwlzr7qv6A==&uniplatform=NZKPT&language=CHS
信用国际化——人民币国际化法制建设的理据与重心,2021,2020.11.30,海南大学法学院,韩龙,信用国际化——人民币国际化法制建设的理据与重心,法律科学(西北政法大学学报) ,No.01,D912.28,[181-192],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfmeoOqYOaVIgWF4YZrzPoioqwaMYU2sZrnM46zk4glg6h1P0Z8haXcZfUC9tGWcvgpM_b_xmTCdqOWPMWfFvc50YPZdViRqGtnq5gl9xwnJIRyYnktoJteP_trreSCTS-j08O7v17mGWkcz_U2vhGv393T2lD4YOXI9hFNcTN7VQ==&uniplatform=NZKPT&language=CHS
开辟马克思主义中国化时代化新境界,未知,2024.11.29,,新华社记者,不断开辟马克思主义中国化时代化新境界,未知,未知,D61;A81,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke77NSZ4q02TQw-w1oIfte8EirqkHQA_xyrc_YWWa7VlcjlDcGqeoGCUPlmUY97kuV4lqw8AQjQXJu24-NDC9lqkADnm36DNwaJKz9wxNIABwKw427suVNHvkw_7BeeAa7tV3fWiO-UkGSFvoVZwQ-cpTeoKmILbrss8lHJJqKIL-s6F42RwJDz&uniplatform=NZKPT&language=CHS
中小投资者法律保护与资本市场稳定——来自投服中心持股行权试点的经验证据,2024,2023.12.20,厦门大学管理学院,李海丽;沈哲,中小投资者法律保护与资本市场稳定——来自投服中心持股行权试点的经验证据,统计研究 ,No.03,F832.51;D922.287,[129-139],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcdpN6Vi1cM6u7ATIeVwKPaCWpsYwMgnJMvd0qkQGz4e1u5-O_2SyG52-70myqhv4Ga7Zjm9cxE1qFZQ5UHT7P5dCflR2JqJh9bPiGzqBu1WUAhqhmA0_8v9_qMhBmmPxf1ye1vr8y3zh_Le663ZMyj2JiXeDc_I1_Th4zdlyxFuQ==&uniplatform=NZKPT&language=CHS
从无入有”:罗近溪“孝弟慈”说对阳明良知学的修正与发展,2021,2021.08.17,首都师范大学哲学系,盛珂,“从无入有”:罗近溪“孝弟慈”说对阳明良知学的修正与发展,中国哲学史 ,No.04,B248.2,[80-86],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdpiDgKl81HfiYSHW9RpcMmFMAE8Aqx7K1fQ809IaUr1sZymKQWqIBpPy-MU966V9tNbXEX_r99qYpA8TYzx4_Y7ovhUK9EM-Qa4_oOvZajANSSGx4t_MTMHHaN_0VQP6_WhvGtYqJcY7hHZ_J7RJWi0BilO_lhY_qQwo4MuCplFw==&uniplatform=NZKPT&language=CHS
21世纪德语区东亚艺术史研究——以中国传统绘画为例,2023,2023.02.27,柏林自由大学历史文化学院艺术史系,黄春梦,21世纪德语区东亚艺术史研究——以中国传统绘画为例,美术 ,No.02,J212,[17-29],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdoIMe4RRvJuYcT1w6zT-kOZWJy_ofC-zJlDN9bDMgCX2DBSL5Nz6Tp5To41HTJ6RGEGEYrH1A8l2Rzd6tfsllVpnnJa7lFPonFF1tGxlnkf821QMY960x1xmUqKQ-eVj4Pa0BGKfYZfsig2JXiV7HSN1LeMIbzzwFV1a5akQz-Uw==&uniplatform=NZKPT&language=CHS
澄清贸易摩擦导致的中美双边贸易统计误导,2024,2024.12.05,1.北京师范大学统计学院;2.广东省团校（广东青年政治学院）;3.中国社会科学院数量经济与技术经济研究所经济数据与政策评估实验室;4.中国教育科学研究院教育理论研究所,夏珺;李双双;花昀;李昕,澄清贸易摩擦导致的中美双边贸易统计误导,统计研究 ,No.11,F752.7;F757.12,[36-48],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdExGOGcoUITItOBuuFB7ueX4YHhOCyBhSLmoDOhdzYhc2OEjZ0tzLL5OxViFmGDdZtmY9dPVudObHt5l2PQydXwacC6wmM0LW-EVeGz-RX_hGMM9MwsKJYXVV1QLxkQ-wuyRMeF1FkgYX-0_jEqppj0Z-1yFOTQfL2PTCC-u-IIw==&uniplatform=NZKPT&language=CHS
悔·治悔·无悔——从儒家视角论道德悔过的意义与困境,2020,2020.06.03,清华大学国学研究院,王硕,悔·治悔·无悔——从儒家视角论道德悔过的意义与困境,哲学动态 ,No.05,B222,[63-70],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfMva-rNXm-VKRxk9BKUHFLMyZIo73UFiLob72bRM0pp8RfZxgTorZgeYlSDbpqU5_fAm-iIGHRcLDRdwwB64WC3K2Sw_xr8EFN3jjni7FbUGAex1SCjhjCcZhWtBBPJIvSPnAFq1rR8NyanR29zCxZvOyaSTPHPX__T0s22D44pg==&uniplatform=NZKPT&language=CHS
论清季民国中国绘画史分期的结构、逻辑和旨趣,2020,2020.11.30,安徽师范大学美术学院,张学峰,论清季民国中国绘画史分期的结构、逻辑和旨趣,南京艺术学院学报(美术与设计版) ,No.05,J209.2;K25,[24-30+209],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcIpaZ79TDmB30DDeUMZwWVhPKRIDwB4JdliJu_3pOmbCfbavSmG6bKvneLhR-RDjPV5YLqGrGlX0wLs89x2qXtr4hRuCwvwVzsd_da27d2yx0lmLpkgg_BUFUDQOh_xa37itJh1XaLq2x9hJ4k9HeEpxAsgafTmC7LaOZ0a7bxFg==&uniplatform=NZKPT&language=CHS
潘多拉的魔盒：人工智能训练数据的来源、使用与治理——面向100位AI开发者的扎根研究,2022,2022.01.26,清华大学新闻与传播学院,高泽晋,潘多拉的魔盒：人工智能训练数据的来源、使用与治理——面向100位AI开发者的扎根研究,新闻记者 ,No.01,TP18;G203,[86-96],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfpBl0zVNMhWn_xqgE3tXw6TOK_oLteGMW2PvGaMKlmqx9xUnlQukH-wLS6BzzclT7FdjU09AShaFyzvGiSfRYowREDNWvyhuCy9755xyi4rUOXGtYTXvUqmIo6vSy5-6ojnhvpQ9qf1yLfboFMCbu2kSQeT7-3DDHQ0Lfvm3bOLg==&uniplatform=NZKPT&language=CHS
比较视野中的百年政党：历史演进、类型特征与兴衰关键,2021,2021.10.25,1.中国人民大学国际关系学院政治学系;2.浙江(嘉兴)中外政党研究中心;3.北京航空航天大学马克思主义学院,周淑真;孙润南,比较视野中的百年政党：历史演进、类型特征与兴衰关键,政治学研究 ,No.04,D05,[27-37+155],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc7Ato8qyRlxjJjhR_uS5bOVPJVhbsnNdgsKIpV1eo1R8J-e4G3Xqfhk6sWIJMIrTPBpkey8qRe7wvjpX3_rB35ZuEYTlhFQcWarYeRwgMl3lJWYv20YWmbI3_n3cujBv7r5awLtzRrtvZilVc_OMiodDJ3KDzpSrZPMpP0Ir3d2w==&uniplatform=NZKPT&language=CHS
大型网上超市多品订单多仓协同分拣优化研究,2024,2024.04.03,1.华北电力大学经济与管理学院;2.新能源电力与低碳发展研究北京市重点实验室(华北电力大学);3.北京航空航天大学经济管理学院,黄敏芳;田明衡;张漪;张源凯;张钰倩,大型网上超市多品订单多仓协同分拣优化研究,工程管理科技前沿 ,No.05,TP18;F252;F724.6;F274,[33-40],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdZPq8P0yQCV_4Ws_ueZsoQ2bZsJHFAs5XoiT_eZ7I_-5AOBXKwPBiL0o3CABAlV38qiIbOGYBNRLNhDtgItSEKgE9jcplp9Ceyj_ujP4N008dgR3ZrN-swyK3igXRS4Mm-aPEfuCUVE85OmaTeM21nEheKoUJmo5sJuERGkonv6g==&uniplatform=NZKPT&language=CHS
五四时期社会改造思潮与毛泽东“革命话语”构建,2020,2020.04.08,南京航空航天大学马克思主义学院,王中平,五四时期社会改造思潮与毛泽东“革命话语”构建,湘潭大学学报(哲学社会科学版) ,No.02,A84,[7-14],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcu2j4q8MZw4x_9rQmO5yGtodfbbnMDJig8E1ZJF3PaiWeZRkkQo3qtCGiLYpbrd6m9GCvh2zBGLXHX3jRZyj9x-woMKAC5HWbAMUf711FIHDIA6mIWwxK_KkwewBj6IyI6IqmgpMWl_uW21gBwsWM1doZswmKGNgmxUgozUOKQOA==&uniplatform=NZKPT&language=CHS
“一带一路”专题数据库建设调查与发展分析,2021,2021.05.14,武汉大学信息管理学院,司莉;陈辰;周璟,“一带一路”专题数据库建设调查与发展分析,图书情报工作 ,No.03,D822;F125;G250.74,[4-12],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcpKSMAZ04w9qZS0IaUN-3iLkVz_SC-TL8whg7FgXi4ncfysgMA8FTet4NB_DaBUumtFPYhayzCiSoajYytzzJ51SgxjLje9hrX4D_ruBg9DrgUNqY8x9Oktt3TlfMBXTx5nRMIujHlcGLt8yQQyKISgRQY51DZXTVOd89yoUqBAg==&uniplatform=NZKPT&language=CHS
“一带一路”沿线国家经济管理类数据库资源分类体系构建,2021,2021.04.02,武汉大学信息管理学院,司莉;刘尧;周璟,“一带一路”沿线国家经济管理类数据库资源分类体系构建,图书馆论坛 ,No.09,F113;G250.74,[44-50],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcSYiTAP8iV2mkDK47_CNVOVw-kbX270xvtxzBzx-WELFrXG_Rps4svrB7wbS91T7k7M2TfeqP14RJmrPE0X6Lp2lUYn41__7QE5TsNeLeGtRKNdmIDrWUwTMQFouOT9MaQNjr5h9BaOmDhKY6wxVStd_ldiM86dz_jQp_3uciq5g==&uniplatform=NZKPT&language=CHS
考虑基因检测误差的癌症患者临床用药辅助决策模型研究,2024,2024.07.23,1.南京航空航天大学自动化学院;2.西安交通大学计算机科学与技术学院;3.合肥工业大学管理学院;4.合肥工业大学过程优化与智能决策教育部重点实验室;5.西安交通大学管理学院,王以瑄;王嘉寅;赖欣;孙新宇;刘晶晶,考虑基因检测误差的癌症患者临床用药辅助决策模型研究,工程管理科技前沿 ,No.02,TP181;R9,[55-61],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcMFyQF7lnQXogQHkEiqYDZVjqXWX8lA9mQt5pGrBnRsnOAPqELk6r5v1D-KQnbIHy8rfVrmtmhYbmPZyNZNV_3wr1hr-fmQXtHTNXqedzvZFw3ERXaT3Xf7tKK5VPbx9oAQ7fQjhf8zOwtG3WB8LpN7XPrNESL3JjePrAvGveVLw==&uniplatform=NZKPT&language=CHS
考虑消费者细分的网购拼单机制研究,2020,2020.07.03,1.湖北大学商学院;2.华中师范大学信息管理学院;3.江南大学商学院,胡凤英;周正龙;卢新元;浦徐进,考虑消费者细分的网购拼单机制研究,中国管理科学 ,No.06,F724.6,[146-157],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcLH0E6pbKT0fvho5edl6dRRmIbNyNmS0kg30s1t8P-YRhPLFobYscy6H-oajpu2p1o0YsitYgUvc9Gxg1y7s_2paLJqfV34dPHFxXf-h7RouvRU_JNGNXnit8xuEa_bvv0ptw3rEWY-6wVWn1tmhnPSDvxm_GL-ddTqKkeRStBXQ==&uniplatform=NZKPT&language=CHS
“一带一路”专题数据库建设的用户参与激励机制研究,2022,2022.02.22,武汉大学信息管理学院,司莉;周璟,“一带一路”专题数据库建设的用户参与激励机制研究,情报科学 ,No.02,G250.74,[36-42+64],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keZO7p50AyiX166MdWqrYp0cxSiOMEz7dxMqLcb7qTwJ8EZ-V6KAKihNEiikSUE0uyfbvgIgm_bRIloO_ut7jC7HQtD2GuwOXvcGHP2ebKXHZDk9p3poXaosHxppMzFA-mtcn9Gyzuq3ynTESv1WOj_Bzd72-S7hWxd98e6eHirmg==&uniplatform=NZKPT&language=CHS
基于TTDWAA算子和TPBM算子的混合型多属性大群体决策方法,2024,2021.12.31,1.江西财经大学工商管理学院;2.江西财经大学财经数据科学重点实验室;3.南京航空航天大学经济与管理学院,王伟明;徐海燕;朱建军;黄鑫,基于TTDWAA算子和TPBM算子的混合型多属性大群体决策方法 增强出版,中国管理科学 ,No.04,C934,[97-107],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcGLnltWQB3jTQwJSDd9V6sMsBgTIy4OkzZoOATid4BUOok2DYHmT3bTBsHlbSFaWokU81TrxUaQqGeBiYBIHNShy5yiIuy5OfL5UnOaHD48HIssIgf20bBlB7SsLm0KixOAW4l1xIOOlAPUg94loLCi-suck7w5s0MEet3FzjhJg==&uniplatform=NZKPT&language=CHS
环保信用评价制度会影响审计收费吗?,2024,2023.10.20,三峡大学经济与管理学院,钟海燕;王江寒,环保信用评价制度会影响审计收费吗?,中南财经政法大学学报 ,No.02,X322;F239.4;F832.51,[15-28],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdd8cPJDsyibOcY2eqKKUZb5wuIz8zH0tHYX2HUpQwaLpZQwLqUPBJG1HE0tKMqdkvcKqzSN0bOoU8kSdap_FUG-SXFbZuvpBsUjiOhVFSryqyWeCJYEkafU3undRyxrw4Sul4fDKM3W--QXBBQ7mrfw9dVRGlo71O07n9948HGIg==&uniplatform=NZKPT&language=CHS
论当代西方教育实习指导的理论取向,2023,2023.03.10,1.教育部普通高校人文社会科学重点研究基地北京师范大学教师教育研究中心;2.北京教育学院石景山分院,姚倩;李爱霞,论当代西方教育实习指导的理论取向,教师教育研究 ,No.01,G511,[122-128],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf9re6lrmwSwavIB_SjFZy1HRywBr6FBg-UUtwMSwebYyzdQ2-O3pCOF0hpTETpg4T6ixv38SOTLxtk2RGOLMimvBWksvZLcdlD4udWh5TJ6wM4njb1HcX-V304VyYmENx4QZV7Cev0sQBfYvKpOXyoBcDzM5z6_-8Loh7hFmlmMw==&uniplatform=NZKPT&language=CHS
中国特色发展软环境研究30年——基于1992—2020年CNKI文献的CiteSpace可视化分析,2022,2021.11.12,海南大学旅游学院,郭强;都德;刘雪莲,中国特色发展软环境研究30年——基于1992—2020年CNKI文献的CiteSpace可视化分析,海南大学学报(人文社会科学版) ,No.05,D630;G353.1,[80-90],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfXfQGQWaYUB_dzqXlMDcbAqCePjB7xDRaJ6aIVOwrGyekMEhfdXAE4snId4fnGqW5Q0Wj2XbA_A1uxEB4OdQjjjJvEpI6yDOemuJDXYSv7R7nBfMBb9vo68BFB8RmzYaKTzCXYYf00Is1picETjRRU-oJxPrREdwqXxT4h-N7SRw==&uniplatform=NZKPT&language=CHS
论优绩主义与高校学生评价,2024,2025.05.07,厦门大学高等教育发展研究中心/教育研究院,陈斌;刘望秀,论优绩主义与高校学生评价,高等教育研究 ,No.09,G642.0,[47-56],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc96mDjgQhNZ3B1A39oxM328fUC9lG6IT0cDxzzGj46_-qp_iIPSAAzWR0jfxYoy-SosKVFJLnpjdsKRiThqifpQ4XcCCEZz7QmuraIFhkgTBFt4k2JuYiknSy-XjlZ5kaQY8sGB7Bt33gUFjymOCu8BypWj5DIkbRf2rCzU8QrAQ==&uniplatform=NZKPT&language=CHS
数字供给使用表研究的国际进展、挑战和建议,2025,2024.08.02,1.山东财经大学统计与数学学院;2.中国金融四十人论坛,张美慧;许宪春,数字供给使用表研究的国际进展、挑战和建议,当代经济科学 ,No.01,F49,[44-59],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf21SRRx0e2dpgxVZA6Dxk41Q6nlvrQTBxvm-0Qhy3tPwW4o-69-uCZ9Dt_dULU1DQOqHbUVaWzm7eQy7BxQZBD9Dj3iDmMiEmuO13o2DDlncmY_UWYR7-lZ7fem9LyGyE5o0WI816W3fOm-Xvm8Cbi_soFSZ-b-jFw1zqu2WKMdQ==&uniplatform=NZKPT&language=CHS
股票违约风险波及效应:机构部门资金流量视角,2025,2024.12.11,1.广州大学经济与统计学院;2.广州大学金融研究院;3.北京师范大学统计学院,李正辉;黄子媚,股票违约风险波及效应：机构部门资金流量视角,系统工程理论与实践 ,No.08,O213;F832.51,[2591-2607],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfEYVSvguRVazCKbBtmBDryqJn5HD3Ufj0e3V7d1TkU_Y9R5ozQFLhe2Ih-eJivAkT5ra6gbn2DAzcghuky4TIV3GqpcuLWp9CZiq57P63vp2-DOvRXe0Pq8ujvbPMUaLy1oWyXJWs3IFS3VrVLDYPtrB3xfT6MhuBOnQyOo1rH_g==&uniplatform=NZKPT&language=CHS
